subtype,new_cell_type,tissue
Neutrophil,Neutrophil,Adult-Adipose
Mast cell,Mast cell,Adult-Adipose
Stromal cell,Stromal cell,Adult-Adipose
Adipocyte,Adipocyte,Adult-Adipose
Proliferating cell,Proliferating cell,Adult-Adipose
Adipocyte ,Adipocyte,Adult-Adipose
M2 Macrophage,Macrophage,Adult-Adipose
T cell,T cell,Adult-Adrenal-Gland
inflammatory cell,Inflammatory cell,Adult-Adrenal-Gland
Proliferating cell,Proliferating cell,Adult-Adrenal-Gland
Neutrophil,Neutrophil,Adult-Adrenal-Gland
Stromal cell,Stromal cell,Adult-Adrenal-Gland
Endothelial cell,Endothelial cell,Adult-Adrenal-Gland
Zona fasciculata cell,Zona fasciculata cell,Adult-Adrenal-Gland
Erythroid cell,Erythroid cell,Adult-Adrenal-Gland
Dendritic cell,Dendritic cell,Adult-Adrenal-Gland
Macrophage,Macrophage,Adult-Adrenal-Gland
Soomth muscle cell,Smooth muscle cell,Adult-Adrenal-Gland
Endothelial,Endothelial cell,Adult-Artery
Smooth muscle cell,Smooth muscle cell,Adult-Artery
B cell (Plasmocyte),B cell,Adult-Artery
Endothelial cell,Endothelial cell,Adult-Artery
Epithelial cell,Epithelial cell,Adult-Artery
Fibroblast,Fibroblast,Adult-Artery
Basal  cell,Basal cell,Adult-Artery
T cell,T cell,Adult-Artery
Mast cell,Mast cell,Adult-Artery
Stromal cell,Stromal cell,Adult-Artery
M1 Macrophage,Macrophage,Adult-Artery
Macrophage,Macrophage,Adult-Artery
Oligodendrocyte,Oligodendrocyte,Fetal-Brain
Purkinje cell,Purkinje cell,Fetal-Brain
Neuron,Neuron,Fetal-Brain
Proliferating radial glia,Radial glia,Fetal-Brain
Unknown,(DELETED),Fetal-Brain
Fibroblast,Fibroblast,Fetal-Brain
Microglia,Microglia,Fetal-Brain
Erythroid cell,Erythroid cell,Fetal-Brain
Radial glia,Radial glia,Fetal-Brain
Ependymal cell,Ependymal cell,Fetal-Brain
Stromal cell,Stromal cell,Fetal-Brain
Oligodendrocyte progenitor cell,Oligodendrocyte,Fetal-Brain
Macrophage,Macrophage,Fetal-Brain
Proliferating cell,Proliferating cell,Fetal-Brain
Astrocyte,Astrocyte,Fetal-Brain
Endothelial cell,Endothelial cell,Fetal-Brain
Neutrophil,Neutrophil,Fetal-Brain
Macrophage,Macrophage,Adult-Colon
Unknown,(DELETED),Adult-Colon
Enterocyte,Enterocyte,Adult-Colon
T cell,T cell,Adult-Colon
Smooth muscle cell,Smooth muscle cell,Adult-Colon
Mast cell,Mast cell,Adult-Colon
Enteric glial cell,Enteric glial cell,Adult-Colon
B cell (Plasmocyte),B cell,Adult-Colon
Stromal cell,Stromal cell,Adult-Colon
Goblet cell,Goblet cell,Adult-Colon
Enterocyte progenitor,Enterocyte,Adult-Colon
Fibroblast,Fibroblast,Adult-Esophagus
Lymphocyte,Lymphocyte,Adult-Esophagus
B cell (Plasmocyte),B cell,Adult-Esophagus
Basal cell,Basal cell,Adult-Esophagus
Unknown,(DELETED),Adult-Esophagus
Epithelial cell,Epithelial cell,Adult-Esophagus
Endothelial cell,Endothelial cell,Adult-Esophagus
Smooth muscle cell,Smooth muscle cell,Adult-Esophagus
Mast cell,Mast cell,Adult-Esophagus
Mucosal cell,Mucosal cell,Adult-Esophagus
MT high cell,MT high cell,Adult-Esophagus
Macrophage,Macrophage,Adult-Esophagus
B cell,B cell,Adult-Esophagus
Neutrophil,Neutrophil,Adult-Esophagus
Stromal cell,Stromal cell,Adult-Esophagus
Kerationcyte,Keratinocyte,Adult-Esophagus
Neutrophil ,Neutrophil,Adult-Esophagus
Neutrophil,Neutrophil,Adult-Heart
Smooth muscle cell,Smooth muscle cell,Adult-Heart
M2 Macrophage,Macrophage,Adult-Heart
M1 Macrophage,Macrophage,Adult-Heart
Apoptotic cell,Apoptotic cell,Adult-Heart
Conventional dendritic cell,Dendritic cell,Adult-Heart
Mast cell,Mast cell,Adult-Heart
T cell,T cell,Adult-Heart
Cardiomyocyte,Cardiomyocyte,Adult-Heart
Vascular endothelial cell,Endothelial cell,Adult-Heart
Ventricle cardiomyocyte,Cardiomyocyte,Adult-Heart
Fibroblast,Fibroblast,Adult-Heart
Dendritic cell,Dendritic cell,Adult-Heart
Endothelial cell,Endothelial cell,Adult-Heart
Macrophage,Macrophage,Adult-Heart
Distal tubule cell,Tubule cell,Adult-Kidney
Thick ascending limb of the loop of Henle,Loop of henle,Adult-Kidney
Smooth muscle cell,Smooth muscle cell,Adult-Kidney
Macrophage,Macrophage,Adult-Kidney
B cell (Plasmocyte),B cell,Adult-Kidney
Proximal tubule cell,Tubule cell,Adult-Kidney
Mast cell,Mast cell,Adult-Kidney
Fenestrated endothelial cell,Endothelial cell,Adult-Kidney
Unknown,(DELETED),Adult-Kidney
Neutrophil,Neutrophil,Adult-Kidney
IC-tran-PC,IC-tran-PC,Adult-Kidney
Principle cell,Principle cell,Adult-Kidney
Fibroblast,Fibroblast,Adult-Kidney
Myeloid cell,Myeloid cell,Adult-Kidney
Endothelial cell,Endothelial cell,Adult-Kidney
Ureteric epithelial cell,Epithelial cell,Adult-Kidney
Glomerular endothelial cell,Endothelial cell,Adult-Kidney
Epithelial cell,Epithelial cell,Adult-Kidney
B cell(Plasmocyte),B cell,Adult-Kidney
Conventional dendritic cell,Dendritic cell,Adult-Kidney
Epithelial,Epithelial cell,Adult-Kidney
Dendritic cell,Dendritic cell,Adult-Kidney
Loop of henle,Loop of henle,Adult-Kidney
B cell,B cell,Adult-Kidney
Loop of henle ,Loop of henle,Adult-Kidney
Intercalated cell,Intercalated cell,Adult-Kidney
Myocyte,Myocyte,Adult-Kidney
T cell,T cell,Adult-Kidney
Ciliated cell,Ciliated cell,Adult-Lung
B cell (Plasmocyte),B cell,Adult-Lung
Myeloid cell,Myeloid cell,Adult-Lung
AT1 cell,AT1 cell,Adult-Lung
Dendritic cell,Dendritic cell,Adult-Lung
Epithelial cell,Epithelial cell,Adult-Lung
Plasmocyte,Plasmocyte,Adult-Lung
Arterial endothelial cell,Endothelial cell,Adult-Lung
Macrophage,Macrophage,Adult-Lung
Alveolar bipotent progenitor(cell cycle),Alveolar bipotent,Adult-Lung
Clara cell,Clara cell,Adult-Lung
Bronchial chondrocyte,Bronchial chondrocyte,Adult-Lung
Smooth muscle cell,Smooth muscle cell,Adult-Lung
B cell,B cell,Adult-Lung
Neutrophil,Neutrophil,Adult-Lung
NKT cell,NKT cell,Adult-Lung
Fibroblast,Natural killer cell,Adult-Lung
Natural killer cell,Natural killer cell,Adult-Lung
Megakaryocyte,Megakaryocyte,Adult-Lung
Unknown,(DELETED),Adult-Lung
Endothelial cell,Endothelial cell,Adult-Lung
Proliferating cell,Proliferating cell,Adult-Lung
Conventional dendritic cell,Dendritic cell,Adult-Lung
Mast cell,Mast cell,Adult-Lung
Lymphatic endothelial cell,Endothelial cell,Adult-Lung
Bronchial Epithelial cell,Epithelial cell,Adult-Lung
AT2 cell,AT2 cell,Adult-Lung
Actived T cell,(DELETED),Adult-Lung
Proliferating alveolar bipotent progenitor cell,Alveolar bipotent,Adult-Lung
M2 macrophage,Macrophage,Adult-Lung
Proliferating T cell,Proliferating T cell,Adult-Lung
Artry endothelial cell,Endothelial cell,Adult-Lung
Stromal cell,Stromal cell,Adult-Lung
T cell,T cell,Adult-Lung
AT1 cell,AT1 cell,Adult-Lung
Smooth muscle cell,Smooth muscle cell,Adult-Muscle
Endothelial cell,Endothelial cell,Adult-Muscle
Stromal cell,Stromal cell,Adult-Muscle
Fast skeletal muscle cell,Fast skeletal muscle cell,Adult-Muscle
Neutrophil,Neutrophil,Adult-Muscle
T cell,T cell,Adult-Muscle
B cell (Plasmocyte),B cell,Adult-Muscle
Muscle progenitor cell,Muscle progenitor cell,Adult-Muscle
Unknown,(DELETED),Adult-Muscle
Fibroblast,Fibroblast,Adult-Muscle
Myogenic precursor cell,Myogenic precursor cell,Adult-Muscle
NK cell,Natural killer cell,Adult-Muscle
Conventional dendritic cell,Dendritic cell,Adult-Muscle
Proliferating cell,Proliferating cell,Adult-Muscle
Mast cell,Mast cell,Adult-Muscle
M2 Macrophage,Macrophage,Adult-Muscle
Fibroblast,Fibroblast,Adult-Pancreas
Smooth muscle cell,Smooth muscle cell,Adult-Pancreas
Alpha cell,Alpha cell,Adult-Pancreas
Endothelial cell,Endothelial cell,Adult-Pancreas
Beta cell,Beta cell,Adult-Pancreas
M2 Macrophage,Macrophage,Adult-Pancreas
Acniar cell,(DELETED),Adult-Pancreas
Exocrine cell,Exocrine cell,Adult-Pancreas
Ductal cell,Ductal cell,Adult-Pancreas
Acinar cell,Acinar cell,Adult-Pancreas
Neuroendocrine cell,Neuroendocrine cell,Adult-Prostate
Endothelial cell,Endothelial cell,Adult-Prostate
M1 Macrophage,Macrophage,Adult-Prostate
Smooth muscle cell,Smooth muscle cell,Adult-Prostate
Epithelial cell,Epithelial cell,Adult-Prostate
Unknown epithelial cell,Epithelial cell,Adult-Prostate
Unknown,(DELETED),Adult-Prostate
Intermediate epithelial cell,Epithelial cell,Adult-Prostate
Basal cell,Basal cell,Adult-Prostate
Luminal cell,Luminal cell,Adult-Prostate
T cell,T cell,Adult-Prostate
Neutrophil,Neutrophil,Adult-Prostate
Fibroblast,Fibroblast,Adult-Prostate
M2 macrophage,Macrophage,Adult-Spleen
Lymphoid progenitor cell,Lymphoid progenitor cell,Adult-Spleen
Neutrophil,Neutrophil,Adult-Spleen
B cell (centrocyte),B cell,Adult-Spleen
Erythroid cell,Erythroid cell,Adult-Spleen
B cell (Plasmocyte),B cell,Adult-Spleen
CD8,T cell,Adult-Spleen
T cell,T cell,Adult-Spleen
Endothelial cell,Endothelial cell,Adult-Spleen
Smooth muscle cell,Smooth muscle cell,Adult-Stomach
CD8 T cell,T cell,Adult-Stomach
Gastric mucosa cell,Gastric mucosa cell,Adult-Stomach
Mast,Mast cell,Adult-Stomach
Macrophage,Macrophage,Adult-Stomach
Chromaffin cell,Chromaffin cell,Adult-Stomach
Epithelial cell,Epithelial cell,Adult-Stomach
Fibroblast,Fibroblast,Adult-Stomach
Parietal cell,Parietal cell,Adult-Stomach
Stromal cell,Stromal cell,Adult-Stomach
Pit cell,Pit cell,Adult-Stomach
B cell(plasmocyte),B cell,Adult-Stomach
B cell (Plasmocyte),B cell,Adult-Stomach
Gastric chief cell,Gastric chief cell,Adult-Stomach
Endothelial cell,Endothelial cell,Adult-Stomach
Granulocyte,Granulocyte,Adult-Stomach
Inflammatory cell,Inflammatory cell,Adult-Stomach
D cell/ X/A cell,D cell/ X/A cell,Adult-Stomach
T cell,T cell,Adult-Stomach
Myeloid cell,Myeloid cell,Adult-Stomach
Mast cell,Mast cell,Adult-Stomach
Follicular cell,Follicular cell,Adult-Thyroid
Follicular B cell,B cell,Adult-Thyroid
Thyroid epithelial cell,Epithelial cell,Adult-Thyroid
NK cell,Natural killer cell,Adult-Thyroid
T cell,T cell,Adult-Thyroid
Proliferating cell,Proliferating cell,Adult-Thyroid
Stromal cell,Stromal cell,Adult-Thyroid
Smooth muscle cell,Smooth muscle cell,Adult-Thyroid
B cell (Plasmocyte),B cell,Adult-Thyroid
Plasmacytoid dendritic cell,Dendritic cell,Adult-Thyroid
Thyroid follicular cell,Follicular cell,Adult-Thyroid
Fibroblast,Fibroblast,Adult-Thyroid
Endothelial cell,Endothelial cell,Adult-Thyroid
Conventional dendritic cell,Dendritic cell,Adult-Thyroid
Neutrophil  ,Neutrophil,Adult-Thyroid
Endothelial cell in EMT,Endothelial cell,Adult-Uterus
Endothelial cell,Endothelial cell,Adult-Uterus
T cell,T cell,Adult-Uterus
Mast cell,Mast cell,Adult-Uterus
M1 Macrophage,Macrophage,Adult-Uterus
Unknown,(DELETED),Adult-Uterus
Stromal cell,Stromal cell,Adult-Uterus
Endometrial cell,Endometrial cell,Adult-Uterus
Smooth muscle cell,Smooth muscle cell,Adult-Uterus
Unknown epithelial cell,Epithelial cell,Adult-Uterus
Fibroblast,Fibroblast,Adult-Uterus
Vascular smooth muscle cell,Vascular smooth muscle cell,Adult-Uterus
Epithelial cell,Epithelial cell,Adult-Uterus
Proliferating cell,Proliferating cell,Adult-Peripheral-Blood
Neutrophil,Neutrophil,Adult-Peripheral-Blood
Plasmacytoid dendritic cell,Dendritic cell,Adult-Peripheral-Blood
Monocyte,Monocyte,Adult-Peripheral-Blood
Macrophage,Macrophage,Adult-Peripheral-Blood
NK cell,Natural killer cell,Adult-Peripheral-Blood
Eosinophil,Eosinophil,Adult-Peripheral-Blood
activative T cell,activative T cell,Adult-Peripheral-Blood
CD8+ T cell,T cell,Adult-Peripheral-Blood
CD4,T cell,Adult-Peripheral-Blood
B cell(Centrocyte),B cell,Adult-Peripheral-Blood
B cell(Plasmocyte),B cell,Adult-Peripheral-Blood
Proliferating T cell,T cell,Adult-Peripheral-Blood
CD8,T cell,Adult-Peripheral-Blood
Myeloid progenitor cell,Myeloid progenitor cell,Adult-Peripheral-Blood
Erythroid cell,Erythroid cell,Adult-Peripheral-Blood
Conventional dendritic cell,Dendritic cell,Adult-Peripheral-Blood
B cell,B cell,Adult-Peripheral-Blood
Dendritic cell,Dendritic cell,Adult-Peripheral-Blood
Proliferating  B cell,Proliferating  B cell,Adult-Peripheral-Blood
T cell,T cell,Adult-Peripheral-Blood
Erythroid cell,Erythroid cell,Fetal-Skin
Vascular endothelial cell,Endothelial cell,Fetal-Skin
Keratinocyte,Keratinocyte,Fetal-Skin
Lymphatic endothelial cell,Endothelial cell,Fetal-Skin
Neutrophil,Neutrophil,Fetal-Skin
Melanocyte,Melanocyte,Fetal-Skin
Osteoblast,Osteoblast,Fetal-Skin
Smooth muscle cell,Smooth muscle cell,Fetal-Skin
Fibroblast,Fibroblast,Fetal-Skin
Mesenchymal  cell,Mesenchymal cell,Fetal-Skin
Mast cell,Mast cell,Fetal-Skin
Proliferating cell,Proliferating cell,Fetal-Skin
Dermis fibroblast,Fibroblast,Fetal-Skin
M2 Macrophage,Macrophage,Fetal-Skin
Macrophage,Macrophage,Fetal-Skin
Endothelial cell,Endothelial cell,Fetal-Skin
Skeletal muscle cell,Skeletal muscle cell,Fetal-Skin
Enterocyte progenitor,Enterocyte,Adult-Ileum
B cell (Plasmocyte),B cell,Adult-Ileum
Goblet cell,Goblet cell,Adult-Ileum
T cell,T cell,Adult-Ileum
Neuron,Neuron,Adult-Ileum
Macrophage,Macrophage,Adult-Ileum
Fibroblast,Fibroblast,Adult-Ileum
Stromal cell,Stromal cell,Adult-Ileum
Endothelial cell,Endothelial cell,Adult-Ileum
Mast cell,Mast cell,Adult-Ileum
Paneth cell,Paneth cell,Adult-Ileum
Enterocyte,Enterocyte,Adult-Ileum
Myeloid cell,Myeloid cell,Adult-Ileum
Conventional dendritic cell,Dendritic cell,Adult-Ileum
Smooth muscle cell,Smooth muscle cell,Adult-Ileum
Epithelial cell,Epithelial cell,Fetal-Intestine
Proliferating cell,Proliferating cell,Fetal-Intestine
Enterocyte progenitor,Enterocyte,Fetal-Intestine
Enteroendocrine cell,Enteroendocrine cell,Fetal-Intestine
Enterocyte,Enterocyte,Fetal-Intestine
Goblet cell,Goblet cell,Fetal-Intestine
Endothelial cell,Endothelial cell,Fetal-Intestine
Fibroblast,Fibroblast,Fetal-Intestine
Macrophage,Macrophage,Fetal-Intestine
Stromal cell,Stromal cell,Fetal-Intestine
Neuron,Neuron,Fetal-Intestine
Smooth muscle cell,Smooth muscle cell,Fetal-Intestine
Enterocyte ,Enterocyte,Fetal-Intestine
Myeloid cell,Myeloid cell,Fetal-Intestine
Erythroid cell,Erythroid cell,Fetal-Intestine
Vascular endothelial cell,Endothelial cell,Fetal-Intestine
Fibroblast ,Fibroblast,Fetal-Intestine
Erythroid cell,Erythroid cell,Fetal-Intestine
Lymphatic endothelial cell,Endothelial cell,Fetal-Intestine
T cell,T cell,Fetal-Intestine
Dendritic cell,Dendritic cell,Fetal-Intestine
B cell,B cell,Fetal-Intestine
Antigen-presenting cell,Antigen-presenting cell,Fetal-Intestine
B cell (Plasmocyte),B cell,Adult-Bladder
Endothelial cell (non-professional APC),Endothelial cell,Adult-Bladder
Fibroblast,Fibroblast,Adult-Bladder
Macrophage,Macrophage,Adult-Bladder
Neutrophil,Neutrophil,Adult-Bladder
Smooth muscle cell,Smooth muscle cell,Adult-Bladder
T cell,T cell,Adult-Bladder
Urothelial cell ,Urothelial cell,Adult-Bladder
M2 Macrophage,Macrophage,Adult-Bladder
Mast cell,Mast cell,Adult-Bladder
NK cell,Natural killer cell,Adult-Bladder
Stromal cell,Stromal cell,Adult-Bladder
Urothelial cell,Urothelial cell,Adult-Bladder
Vascular endothelial cell,Endothelial cell,Adult-Bladder
B cell (Centrocyte),B cell,Adult-Bone-Marrow
Conventional dendritic cell,Dendritic cell,Adult-Bone-Marrow
Erythroid progenitor cell,Erythroid cell,Adult-Bone-Marrow
M2 Macrophage,Macrophage,Adult-Bone-Marrow
Neutrophi,Neutrophil,Adult-Bone-Marrow
NK cell,Natural killer cell,Adult-Bone-Marrow
B cell (Plasmocyte),B cell,Adult-Bone-Marrow
Erythroid cell,Erythroid cell,Adult-Bone-Marrow
HSPC,HSPC,Adult-Bone-Marrow
Monocyte,Monocyte,Adult-Bone-Marrow
Neutrophil,Neutrophil,Adult-Bone-Marrow
T cell,T cell,Adult-Bone-Marrow
Astrocyte,Astrocyte,Adult-Cerebellum
Astrocyte(Bergmann glia),Astrocyte,Adult-Cerebellum
B cell,B cell,Adult-Cerebellum
Endothelial cell,Endothelial cell,Adult-Cerebellum
Epithelial cell,Epithelial cell,Adult-Cerebellum
Excitatory neuron,Neuron,Adult-Cerebellum
Inhibitory neuron,Neuron,Adult-Cerebellum
Interneuron,Neuron,Adult-Cerebellum
Macrophage,Macrophage,Adult-Cerebellum
Microglia,Microglia,Adult-Cerebellum
Neuthrophil,Neutrophil,Adult-Cerebellum
Oligodendrocyte,Oligodendrocyte,Adult-Cerebellum
Oligodendrocyte progenitor cell,Oligodendrocyte,Adult-Cerebellum
Smooth muscle cell,Smooth muscle cell,Adult-Cerebellum
Stromal cell,Stromal cell,Adult-Cerebellum
T cell,T cell,Adult-Cerebellum
B cell (Centrocyte),B cell,Cord-Blood
B cell(Centrocyte),B cell,Cord-Blood
B cell(Plasmocyte),B cell,Cord-Blood
B cell(Unknown),B cell,Cord-Blood
Conventional dendritic cell,Dendritic cell,Cord-Blood
Dendritic cell,Dendritic cell,Cord-Blood
Eosinophil,Eosinophil,Cord-Blood
Erythroid cell,Erythroid cell,Cord-Blood
Erythroid/Basophil Progenitor,Erythroid cell,Cord-Blood
HSPC,HSPC,Cord-Blood
Megakaryocyte,Megakaryocyte,Cord-Blood
Monocyte,Monocyte,Cord-Blood
Neutrophil,Neutrophil,Cord-Blood
NK cell,Natural killer cell,Cord-Blood
Plasmacytoid dendritic cell,Dendritic cell,Cord-Blood
Proliferating cell,Proliferating cell,Cord-Blood
T cell,T cell,Cord-Blood
Dendritic cell,Dendritic cell,Cord-Blood-CD34P
Eosinophil,Eosinophil,Cord-Blood-CD34P
Erythroid/Basophil Progenitor,Erythroid cell,Cord-Blood-CD34P
HSPC,HSPC,Cord-Blood-CD34P
Megakaryocyte,Megakaryocyte,Cord-Blood-CD34P
Neutrophil,Neutrophil,Cord-Blood-CD34P
NK cell,Natural killer cell,Cord-Blood-CD34P
Proliferating cell,Proliferating cell,Cord-Blood-CD34P
Monocyte,Monocyte,